,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
133,2022 Buick Envision Essence,10317.0,Used,2022,39040,Sterling Value Pre-Owned,7 ,No names
134,2011 Chevrolet Traverse LS,135110.0,Used,2011,8500,Sundance Chevrolet,9262 ,4.8
135,2020 Mazda MX-5 Miata RF Grand Touring,9407.0,Used,2020,30940,Infiniti of Clearwater,279 ,3.6
136,2008 Ford Ranger XL,117710.0,Used,2008,7999,ODaniel Chrysler Dodge Jeep Ram,4741 ,4.9
137,2005 Subaru Baja Sport,98630.0,Used,2005,14000,Kunes GMC of Belvidere,30 ,3.5
138,2018 Jaguar F-PACE S,66692.0,Used,2018,39998,CarMax South Portland - Now offering Curbside Pickup,2 ,No names
139,1987 Chevrolet Monte Carlo SS,83841.0,Used,1987,22500,Mathews Chrysler Dodge Jeep Ram,12 ,1.4
140,2017 BMW X5 xDrive35i,99501.0,Used,2017,23995,"Paducah Ford Lincoln Mazda, Inc.",312 ,4.6
141,2018 Hyundai Elantra SE,20801.0,Used,2018,17582,Dan Deery Motors,67 ,4.0
142,2020 Mercedes-Benz GLE 450 AWD 4MATIC,21688.0,Used,2020,57998,CarMax Loveland - Now offering Curbside Pickup and Home Delivery,8 ,No names
143,2021 Lincoln Navigator L Reserve,13600.0,Used,2021,81000,No names,No names,No names
144,2020 Nissan Rogue Sport SV,7589.0,Used,2020,28998,CarMax Pharr - Now offering Curbside Pickup,2 ,No names
145,2018 Ford Focus ST Base,34240.0,Used,2018,25998,CarMax Arlington/Ft. Worth - Now offering Curbside Pickup and Home Delivery,16 ,No names
146,2019 Lexus GX 460 Base,27272.0,Used,2019,39899,Performance Alfa Romeo,12 ,5.0
147,2017 Lincoln MKC Reserve,46749.0,Used,2017,23984,Leson Chevrolet,430 ,4.3
148,2014 Lexus RX 350 F Sport,110056.0,Used,2014,19460,Performance Toyota Bountiful,1613 ,4.2
149,2011 Land Rover LR4 Base,69401.0,Used,2011,19995,MAG Motor Company,6 ,No names
